COLUMN_NAME	DATA_TYPE
Controle	int
Codigo	varchar
CodInterno	varchar
CodORIGEM	varchar
Produto	varchar
LkSetor	int
Fabricante	varchar
LkFornec	int
PrecoCompra	float
PrecoCusto	float
CustoMedio	float
PrecoVenda	float
Quantidade	float
EstMinimo	float
Unidade	varchar
Lucro	float
Moeda	varchar
UltReaj	datetime
Obs	varchar
NaoSaiTabela	bit
Inativo	bit
CodIPI	varchar
IPI	float
CST	varchar
ICMS	float
BaseCalculo	float
PerPrazo	float
PrPrazo	float
PerAtacado	float
PrAtacado	float
QtdMedia	float
UltVenda	datetime
QtdDepos	float
QtdCompra	float
Tamanho	varchar
Cor	varchar
DESCRICAO	varchar
HORAINI	varchar
HORAFIM	varchar
PERMINIMO	float
PRMINIMO	float
Peso	float
Tempo	varchar
Validade	datetime
Comissao	float
LkGuiche	int
PrecoPDV	float
lkSClasse	int
lkPAtivo	int
Generico	varchar
TipoPreco	varchar
DtAtualiza	datetime
Apresenta	varchar
prazoValidade	int
DescPromocao	float
LkClasse	int
LkControlado	int
UnAtacado	varchar
QtdAtacado	float
LkItemVInc	int
QtdItemVinc	float
idEmpresa	int
CodConvenio	int
Trb_Origem	int
Trb_ICMS_CST	int
Trb_PICMS	float
Trb_PReducao	float
Trb_PIVA	float
Trb_IPI_CST	int
Trb_PIPI	float
Trb_ModBC	int
Trb_ModBCST	int
Trb_NCM	int
Trb_PIS_CST	int
Trb_PPIS	float
Trb_COFINS_CST	int
Trb_PCOFINS	float
PerAtacado1	float
PerAtacado2	float
PerAtacado3	float
PerAtacado4	float
PrAtacado1	float
PrAtacado2	float
PrAtacado3	float
PrAtacado4	float
Data	datetime
LkVinculado	int
PrAtualizavel	int
CodBarra	varchar
CodBarraCx	varchar
SD_IndProp	int
SD_CodCta	varchar
SD_IDENT_MERC	int
DtAlteracao	datetime
LkUsuario	int
CFOP	int
CFOPEnt	int
ComissaoVlFixo	float
PrConvenio	float
QtdEmbalagem	float
UnEmbalagem	varchar
QtdUsoDia	float
LkConvenio	int
Garantia	float
TipoGarantia	varchar
PrUnEmbalagem	float
cProdANP	varchar
QtdFiscal	float
NCM	varchar
LkGrade	int
LkSubGrupo	int
LkGradeCor	int
LkGradeTam	int
LkTpAgregado	int
LkCor	int
LkVasilhame	int
QtdVazio	float
Aliq_ICMS_Cred_Pressumido	float
CEST	varchar
QtdMinPrAtacado	float
PrAtacado1Un	float
PrAtacado2Un	float
PrAtacado3Un	float
PrAtacado4Un	float
LkDescPromocao	int
LkVenPersonalizada	int
LkImprimeSetor	int
LerPesoBalanca	bit
LkPrecoPorTamanho	int
LkTipoProd	int
LkFabricante	int
far_GrpAnatomico	int
far_GrpFarma	int
far_GrpQuimico	int
far_GrpTerap	int
far_CodGuia	int
far_CodAnvisa	varchar
far_RegMS	varchar
far_ATC	varchar
far_Hospitalar	varchar
TipoLista	varchar
Tipo	varchar
CodGrade	int
CodFornecedor	varchar
DtUltAtualizacao	datetime
LkFotoPrincipal	int
