COLUMN_NAME	DATA_TYPE
IdControle	int
Controle	int
PEDIDO	int
LkEst3A	int
Quantidade	float
LkProduto	int
Total	float
TotVenda	float
Lucro	float
Acrescimo	float
DataInc	datetime
ICMS	float
QuantCanc	float
LkVendedor	int
QtdSaldo	float
HoraIni	varchar
HoraFim	varchar
Comissao	float
LkGuiche	int
LkBaixa	int
Venda_Servico	varchar
Cor	varchar
idEmpresa	int
Unidade	varchar
MARCA	varchar
VlUnitario	float
lkClienteItem	int
lkVarejo_Atacado	int
CFOP	int
CST	int
QtdReal	float
Produto	varchar
lkPreco	int
TipoOper	int
VlBonus	float
PrCusto	float
Desconto	float
PrecoVenda	float
CstECF	varchar
CodInterno	varchar
CodOrigem	varchar
Vendedor	varchar
QtdAtacado	float
peso	float
servico	bit
FracUN	varchar
FracQtd	float
FracQtdTotal	float
FracPreco	float
LkCxFecha	int
Item	int
Localizacao	varchar
LkGrade	int
DescRateio	float
AcrescRateio	float
TotalLiquido	float
Entrega	int
LkPreVenda	int
LkCliente	int
LkTamanho	int
PromoBeneficio	float
PromoLk13a	int
PromoNumVezes	float
DtUltAtualizacao	datetime
